date,time,vix,vx1,vx2,spread,entry_spread,pnl_usd,gate_state,gate_score,contango_pct,days_to_roll,roll_by,stop_loss_level,take_profit_level,stop_loss_hit,take_profit_hit,notes
2026-01-10,15:55:07,nan,nan,nan,nan,1.63,nan,OPEN,nan,nan,4,2026-01-14,2.04,0.82,False,False,
2026-01-10,16:29:51,16.24,17.10,17.85,0.75,1.63,-88.00,OPEN,0.546,5.30,4,2026-01-14,2.04,0.82,False,True,
2026-01-10,16:39:17,16.24,17.10,17.85,0.75,1.63,-88.00,OPEN,0.546,5.30,4,2026-01-14,2.04,0.82,False,True,
2026-01-12,15:46:41,16.24,17.10,17.85,0.75,1.63,-88.00,OPEN,0.546,5.30,2,2026-01-14,2.04,0.82,False,True,
2026-01-12,15:57:16,nan,nan,nan,nan,1.63,nan,OPEN,nan,nan,2,2026-01-14,2.04,0.82,False,False,
2026-01-12,16:22:15,15.57,16.57,18.22,1.64,1.63,1.50,OPEN,0.574,6.42,2,2026-01-14,2.04,0.82,False,False,
2026-01-13,17:52:58,15.41,16.41,18.18,1.77,1.63,13.50,OPEN,0.579,6.49,1,2026-01-14,2.04,0.82,False,False,
2026-01-14,17:08:44,16.73,17.73,19.11,1.38,0.65,73.50,OPEN,0.541,5.98,29,2026-02-12,0.81,0.32,True,False,
2026-01-14,17:12:23,16.45,17.45,18.88,1.43,0.65,78.00,OPEN,0.549,6.08,29,2026-02-12,0.32,1.30,False,True,
